"";"LotArea";"LotShape";"Utilities";"LandSlope";"HouseStyle";"OverallCond";"YearBuilt";"YearRemodAdd";"BsmtCond";"TotalBsmtSF";"Heating";"HeatingQC";"CentralAir";"KitchenQual";"Fireplaces";"FireplaceQu";"GarageCars";"GarageArea";"GarageCond";"PoolArea";"PoolQC";"MoSold";"YrSold";"SalePrice"
"440";"12354 m2";"Reg";"AllPub";"Gtl";"1.5Fin";8;1920;2000;"Fa";684;"GasA";"Gd";"Y";"Gd";0;NA;2;528;"TA";0;NA;8;2009;110000
"441";"15431 m2";"Reg";"AllPub";"Gtl";"1Story";5;2008;2008;"TA";3094;"GasA";"Ex";"Y";"Ex";2;"Gd";3;672;"TA";0;NA;4;2009;555000
"442";"12108 m2";"Reg";"AllPub";"Gtl";"1Story";4;1955;1955;"TA";1440;"GasA";"TA";"N";"Fa";0;NA;0;0;NA;0;NA;9;2008;118000
"443";"6240 m2";"Reg";"AllPub";"Gtl";"1.5Fin";7;1930;1992;"TA";1078;"GasA";"TA";"Y";"TA";1;"Gd";2;360;"TA";0;NA;6;2008;162900
"444";"3922 m2";"Reg";"AllPub";"Gtl";"1Story";5;2006;2007;"TA";1258;"GasA";"Ex";"Y";"Gd";1;"Gd";3;648;"TA";0;NA;6;2007;172500
"445";"8750 m2";"Reg";"AllPub";"Gtl";"2Story";5;1994;1995;"TA";915;"GasA";"Ex";"Y";"Gd";1;"TA";2;493;"TA";0;NA;7;2008;210000
"446";"9855 m2";"Reg";"AllPub";"Gtl";"1Story";5;1956;1956;"TA";1436;"GasA";"Fa";"Y";"TA";1;"Gd";2;480;"TA";0;NA;11;2009;127500
"447";"16492 m2";"IR1";"AllPub";"Gtl";"1Story";6;1966;2002;"TA";1517;"GasA";"Ex";"Y";"Gd";1;"Gd";2;578;"TA";0;NA;6;2010;190000
"448";"11214 m2";"IR1";"AllPub";"Gtl";"2Story";5;1998;1999;"TA";930;"GasA";"Gd";"Y";"Gd";1;"TA";2;431;"TA";0;NA;7;2006;199900
"449";"8600 m2";"Reg";"AllPub";"Gtl";"1.5Fin";6;1937;1950;"TA";780;"GasA";"TA";"Y";"TA";1;"Gd";1;198;"TA";0;NA;6;2006;119500
"450";"6000 m2";"Reg";"AllPub";"Gtl";"1.5Fin";7;1948;2002;"TA";649;"GasA";"Ex";"Y";"TA";0;NA;1;308;"TA";0;NA;6;2007;120000
"451";"5684 m2";"Reg";"AllPub";"Gtl";"1Story";8;1930;2005;"TA";813;"GasA";"Ex";"Y";"Gd";0;NA;1;270;"Fa";0;NA;6;2006;110000
"452";"70761 m2";"IR1";"AllPub";"Mod";"1Story";5;1975;1975;"TA";1533;"GasA";"TA";"Y";"Gd";2;"TA";2;576;"TA";0;NA;12;2006;280000
"453";"9303 m2";"IR1";"AllPub";"Gtl";"2Story";5;1996;1997;"TA";872;"GasA";"Ex";"Y";"TA";0;NA;2;422;"TA";0;NA;7;2007;204000
"454";"9000 m2";"Reg";"AllPub";"Gtl";"2Story";5;2008;2008;"TA";768;"GasA";"Ex";"Y";"Gd";0;NA;2;676;"TA";0;NA;6;2009;210000
"455";"9297 m2";"Reg";"AllPub";"Gtl";"1Story";5;1976;1976;"TA";1728;"GasA";"TA";"Y";"TA";0;NA;2;560;"TA";0;NA;7;2006;188000
"456";"9600 m2";"Reg";"AllPub";"Gtl";"1Story";6;1973;1973;"TA";1242;"GasA";"Fa";"Y";"TA";1;"TA";2;528;"TA";0;NA;9;2007;175500
"457";"4571 m2";"Reg";"AllPub";"Gtl";"2Story";5;1916;1950;"TA";624;"GasA";"Fa";"N";"TA";0;NA;3;513;"Fa";0;NA;5;2008;98000
"458";"53227 m2";"IR1";"AllPub";"Mod";"1Story";6;1954;1994;"TA";1364;"GasA";"Ex";"Y";"Gd";2;"Gd";2;529;"TA";0;NA;3;2008;256000
"459";"5100 m2";"Reg";"AllPub";"Gtl";"2Story";7;1925;1996;"TA";588;"GasA";"Fa";"Y";"Gd";1;"Gd";1;228;"TA";0;NA;6;2008;161000
"460";"7015 m2";"IR1";"AllPub";"Gtl";"1.5Fin";4;1950;1950;"TA";709;"GasA";"TA";"Y";"Gd";1;"TA";1;352;"TA";0;NA;7;2009;110000
"461";"8004 m2";"IR1";"AllPub";"Gtl";"2Story";5;2009;2009;"TA";832;"GasA";"Ex";"Y";"TA";0;NA;2;552;"TA";0;NA;12;2009;263435
"462";"7200 m2";"Reg";"AllPub";"Gtl";"2Story";9;1936;2007;"Gd";560;"GasA";"Ex";"Y";"Gd";0;NA;2;576;"TA";0;NA;4;2009;155000
"463";"8281 m2";"IR1";"AllPub";"Gtl";"1Story";5;1965;1965;"TA";864;"GasA";"Gd";"Y";"TA";1;"Po";1;360;"TA";0;NA;12;2009;62383
"464";"11988 m2";"IR1";"AllPub";"Mod";"2Story";7;1934;1995;"TA";715;"GasA";"Fa";"Y";"TA";1;"Gd";1;240;"TA";0;NA;8;2008;188700
"465";"8430 m2";"Reg";"AllPub";"Mod";"1Story";5;1978;1978;"TA";1040;"GasA";"TA";"Y";"TA";0;NA;0;0;NA;0;NA;8;2009;124000
"466";"3072 m2";"Reg";"AllPub";"Gtl";"1Story";5;2004;2004;"TA";1375;"GasA";"Ex";"Y";"Gd";1;"TA";2;398;"TA";0;NA;5;2006;178740
"467";"10628 m2";"Reg";"AllPub";"Gtl";"1Story";5;1970;1970;"Gd";1277;"GasA";"TA";"Y";"TA";1;"Po";2;526;"TA";0;NA;4;2007;167000
"468";"9480 m2";"Reg";"AllPub";"Gtl";"2Story";7;1942;1995;"TA";728;"GasA";"Ex";"Y";"Gd";2;"Gd";1;312;"TA";0;NA;6;2007;146500
"469";"11428 m2";"IR1";"AllPub";"Gtl";"1Story";5;2006;2006;"TA";1626;"GasA";"Ex";"Y";"Gd";1;"Gd";3;866;"TA";0;NA;5;2007;250000
"470";"9291 m2";"IR1";"AllPub";"Gtl";"2Story";5;1993;1993;"TA";832;"GasA";"Ex";"Y";"Gd";0;NA;2;506;"TA";0;NA;6;2008;187000
"471";"6820 m2";"IR1";"AllPub";"Gtl";"1Story";5;1985;1985;"TA";1488;"GasA";"TA";"Y";"Gd";0;NA;2;528;"TA";0;NA;6;2010;212000
"472";"11952 m2";"Reg";"AllPub";"Gtl";"2Story";6;1977;1977;"TA";808;"GasA";"TA";"Y";"TA";1;"Gd";2;534;"TA";0;NA;11;2007;190000
"473";"3675 m2";"Reg";"AllPub";"Gtl";"SLvl";5;2005;2005;"TA";547;"GasA";"Ex";"Y";"TA";0;NA;2;525;"TA";0;NA;6;2008;148000
"474";"14977 m2";"IR1";"AllPub";"Gtl";"1Story";5;2006;2007;"TA";1976;"GasA";"Ex";"Y";"Gd";1;"Ex";3;908;"TA";0;NA;7;2007;440000
"475";"5330 m2";"Reg";"AllPub";"Gtl";"1Story";5;2000;2000;"TA";1494;"GasA";"Ex";"Y";"Ex";0;NA;2;499;"TA";0;NA;8;2007;251000
"476";"8480 m2";"Reg";"AllPub";"Gtl";"1Story";6;1963;1963;"TA";970;"GasA";"TA";"Y";"TA";0;NA;2;624;"TA";0;NA;7;2007;132500
"477";"13125 m2";"Reg";"AllPub";"Mod";"1Story";5;1997;1998;"TA";1478;"GasA";"Ex";"Y";"Gd";1;"TA";2;508;"TA";0;NA;4;2008;208900
"478";"13693 m2";"Reg";"AllPub";"Gtl";"2Story";5;2006;2006;"TA";2153;"GasA";"Ex";"Y";"Ex";1;"Gd";3;694;"TA";0;NA;3;2007;380000
"479";"10637 m2";"Reg";"AllPub";"Gtl";"1Story";5;2007;2008;"TA";1705;"GasA";"Ex";"Y";"Gd";1;"Gd";3;826;"TA";0;NA;9;2009;297000
"480";"5925 m2";"Reg";"AllPub";"Gtl";"1Story";7;1937;2000;"TA";907;"GasA";"TA";"Y";"TA";0;NA;2;672;"TA";0;NA;3;2007;89471
"481";"16033 m2";"IR1";"AllPub";"Gtl";"1Story";5;2004;2005;"TA";1833;"GasA";"Ex";"Y";"Gd";1;"Gd";3;772;"TA";0;NA;3;2006;326000
"482";"11846 m2";"IR1";"AllPub";"Gtl";"1Story";5;2003;2004;"TA";1792;"GasA";"Ex";"Y";"Ex";1;"Gd";3;874;"TA";0;NA;8;2006;374000
"483";"2500 m2";"Reg";"AllPub";"Gtl";"2Story";8;1915;2005;"TA";910;"GasA";"Ex";"Y";"Ex";1;"Gd";1;164;"Fa";0;NA;6;2009;155000
"484";"4500 m2";"Reg";"AllPub";"Gtl";"1Story";5;1998;1998;"TA";1216;"GasA";"Ex";"Y";"TA";0;NA;2;402;"TA";0;NA;5;2006;164000
"485";"7758 m2";"IR1";"AllPub";"Gtl";"1Story";7;1962;2001;"TA";999;"GasA";"Gd";"Y";"Gd";0;NA;1;264;"TA";0;NA;3;2007;132500
"486";"9600 m2";"Reg";"AllPub";"Gtl";"1Story";7;1950;2007;"TA";1113;"GasA";"Gd";"Y";"Gd";1;"Gd";1;264;"TA";0;NA;7;2009;147000
"487";"10289 m2";"Reg";"AllPub";"Gtl";"1Story";7;1965;1965;"TA";1073;"GasA";"TA";"Y";"TA";0;NA;2;515;"TA";0;NA;6;2007;156000
"488";"12243 m2";"IR1";"AllPub";"Gtl";"1Story";6;1971;1971;"TA";1484;"GasA";"Gd";"Y";"TA";1;"TA";2;487;"TA";0;NA;2;2007;175000
"489";"10800 m2";"Reg";"AllPub";"Gtl";"1.5Fin";4;1900;1970;"Fa";954;"GasA";"TA";"N";"TA";1;"Gd";2;520;"Fa";0;NA;5;2006;160000
"490";"1526 m2";"Reg";"AllPub";"Gtl";"SFoyer";8;1970;2002;"TA";630;"GasA";"TA";"Y";"Gd";0;NA;1;286;"TA";0;NA;5;2009;86000
"491";"2665 m2";"Reg";"AllPub";"Gtl";"2Story";6;1976;1976;"TA";264;"GasA";"TA";"Y";"TA";1;"Gd";1;336;"TA";0;NA;6;2008;115000
"492";"9490 m2";"Reg";"AllPub";"Gtl";"1.5Fin";7;1941;1950;"TA";806;"GasA";"TA";"Y";"Fa";2;"TA";1;240;"TA";0;NA;8;2006;133000
"493";"15578 m2";"IR1";"AllPub";"Gtl";"2Story";5;2006;2006;"TA";728;"GasA";"Gd";"Y";"TA";0;NA;2;429;"TA";0;NA;5;2006;172785
"494";"7931 m2";"Reg";"AllPub";"Gtl";"1Story";6;1960;1960;"TA";1269;"GasA";"TA";"Y";"TA";1;"Fa";1;308;"TA";0;NA;6;2008;155000
"495";"5784 m2";"Reg";"AllPub";"Gtl";"1Story";8;1938;1996;"TA";190;"GasA";"Gd";"Y";"TA";0;NA;1;273;"TA";0;NA;12;2009;91300
"496";"7879 m2";"Reg";"AllPub";"Gtl";"1Story";5;1920;1950;"TA";720;"GasA";"TA";"N";"TA";0;NA;0;0;NA;0;NA;11;2009;34900
"497";"12692 m2";"IR1";"AllPub";"Gtl";"1Story";5;1992;1993;"TA";3200;"GasA";"Ex";"Y";"Gd";1;"Gd";2;546;"TA";0;NA;5;2007;430000
"498";"9120 m2";"Reg";"AllPub";"Gtl";"1.5Fin";6;1925;1950;"TA";1026;"GasA";"Ex";"Y";"TA";0;NA;1;240;"TA";0;NA;6;2008;184000
"499";"7800 m2";"Reg";"AllPub";"Gtl";"1Story";7;1967;2004;"TA";864;"GasA";"Ex";"Y";"Gd";0;NA;1;288;"TA";0;NA;6;2009;130000
"500";"7535 m2";"IR1";"AllPub";"Gtl";"1Story";7;1958;1985;"TA";912;"GasA";"Fa";"Y";"TA";0;NA;1;297;"TA";0;NA;6;2007;120000
"501";"1890 m2";"Reg";"AllPub";"Gtl";"2Story";5;1973;1973;"TA";672;"GasA";"TA";"Y";"TA";0;NA;1;264;"TA";0;NA;5;2007;113000
"502";"9803 m2";"Reg";"AllPub";"Gtl";"2Story";5;2005;2005;"TA";866;"GasA";"Gd";"Y";"Gd";0;NA;2;603;"TA";0;NA;2;2008;226700
"503";"9170 m2";"Reg";"AllPub";"Gtl";"1Story";7;1965;1965;"TA";1214;"GasA";"Ex";"Y";"TA";0;NA;2;461;"Fa";0;NA;4;2007;140000
"504";"15602 m2";"IR1";"AllPub";"Gtl";"1Story";8;1959;1997;"TA";1501;"GasA";"TA";"Y";"TA";2;"TA";2;484;"TA";0;NA;3;2010;289000
"505";"2308 m2";"Reg";"AllPub";"Gtl";"2Story";5;1974;1974;"TA";855;"GasA";"TA";"Y";"TA";1;"Fa";2;440;"TA";0;NA;6;2009;147000
"506";"7596 m2";"Reg";"AllPub";"Gtl";"2Story";5;1952;1952;"TA";960;"GasA";"Gd";"Y";"TA";0;NA;2;400;"TA";0;NA;7;2009;124500
"507";"9554 m2";"IR1";"AllPub";"Gtl";"2Story";5;1993;1994;"TA";777;"GasA";"Ex";"Y";"Gd";1;"TA";2;471;"TA";0;NA;9;2006;215000
"508";"7862 m2";"IR1";"AllPub";"Gtl";"1Story";5;2009;2009;"TA";1218;"GasA";"Ex";"Y";"Gd";0;NA;2;676;"TA";0;NA;9;2009;208300
"509";"9600 m2";"Reg";"AllPub";"Gtl";"2Story";9;1928;2005;"TA";689;"GasA";"Ex";"Y";"Gd";1;"Gd";2;360;"TA";0;NA;10;2008;161000
"510";"9600 m2";"Reg";"AllPub";"Gtl";"1Story";6;1959;1959;"TA";1041;"GasA";"Ex";"Y";"TA";0;NA;1;270;"TA";0;NA;7;2009;124500
"511";"14559 m2";"Reg";"AllPub";"Gtl";"1Story";7;1951;2000;"TA";1008;"GasA";"Ex";"Y";"TA";2;"TA";1;288;"TA";0;NA;6;2009;164900
"512";"6792 m2";"IR1";"AllPub";"Gtl";"1Story";5;2005;2006;"TA";1368;"GasA";"Ex";"Y";"Gd";1;"Gd";2;474;"TA";0;NA;3;2006;202665
"513";"9100 m2";"Reg";"AllPub";"Gtl";"1Story";5;1958;1958;"TA";864;"GasA";"TA";"Y";"TA";0;NA;2;624;"TA";0;NA;7;2006;129900
"514";"9187 m2";"Reg";"AllPub";"Gtl";"1Story";5;1983;1983;"TA";1084;"GasA";"TA";"Y";"TA";0;NA;2;484;"TA";0;NA;6;2007;134000
"515";"10594 m2";"Reg";"AllPub";"Gtl";"1.5Unf";5;1926;1950;"TA";768;"Grav";"Fa";"N";"TA";0;NA;1;200;"Po";0;NA;6;2007;96500
"516";"12220 m2";"Reg";"AllPub";"Gtl";"1Story";5;2009;2009;"TA";2006;"GasA";"Ex";"Y";"Ex";1;"Gd";3;900;"TA";0;NA;9;2009;402861
"517";"10448 m2";"IR1";"AllPub";"Gtl";"SLvl";6;1972;1972;"TA";689;"GasA";"TA";"Y";"TA";1;"TA";2;583;"TA";0;NA;8;2009;158000
"518";"10208 m2";"IR1";"AllPub";"Gtl";"2Story";5;1996;1997;"TA";1264;"GasA";"Ex";"Y";"Gd";1;"TA";3;889;"TA";0;NA;7;2009;265000
"519";"9531 m2";"IR1";"AllPub";"Gtl";"2Story";5;1998;1998;"TA";794;"GasA";"Ex";"Y";"TA";0;NA;2;546;"TA";0;NA;5;2007;211000
"520";"10918 m2";"Reg";"AllPub";"Gtl";"2Story";9;1926;2004;"TA";1276;"GasA";"Ex";"Y";"Gd";2;"Gd";1;282;"TA";0;NA;6;2009;234000
"521";"10800 m2";"Reg";"AllPub";"Gtl";"2Story";7;1900;2000;NA;0;"GasA";"TA";"N";"TA";0;NA;0;0;NA;0;NA;8;2008;106250
"522";"11988 m2";"IR1";"AllPub";"Gtl";"1Story";6;1957;1957;"TA";1244;"GasA";"Ex";"Y";"TA";2;"Gd";1;336;"TA";0;NA;5;2007;150000
"523";"5000 m2";"Reg";"AllPub";"Gtl";"1.5Fin";7;1947;1950;"TA";1004;"GasA";"Ex";"Y";"TA";2;"Gd";2;420;"TA";0;NA;10;2006;159000
"524";"40094 m2";"IR1";"AllPub";"Gtl";"2Story";5;2007;2008;"TA";3138;"GasA";"Ex";"Y";"Ex";1;"Gd";3;884;"TA";0;NA;10;2007;184750
"525";"11787 m2";"IR1";"AllPub";"Gtl";"2Story";5;1996;1997;"TA";1379;"GasA";"Ex";"Y";"Gd";1;"TA";3;834;"TA";0;NA;8;2007;315750
"526";"7500 m2";"Reg";"AllPub";"Gtl";"1Story";5;2005;2005;"TA";1257;"GasA";"Ex";"Y";"Gd";1;"TA";2;453;"TA";0;NA;4;2006;176000
"527";"13300 m2";"Reg";"AllPub";"Gtl";"1Story";7;1956;2000;"TA";928;"GasA";"TA";"Y";"TA";0;NA;1;252;"TA";0;NA;6;2007;132000
"528";"14948 m2";"IR1";"AllPub";"Gtl";"2Story";5;2008;2008;"TA";1452;"GasA";"Ex";"Y";"Ex";1;"Gd";3;858;"TA";0;NA;11;2008;446261
"529";"9098 m2";"IR1";"AllPub";"Gtl";"1Story";7;1920;2002;"TA";528;"GasA";"Ex";"Y";"TA";0;NA;0;0;NA;0;NA;7;2007;86000
"530";"32668 m2";"IR1";"AllPub";"Gtl";"1Story";3;1957;1975;"TA";2035;"GasA";"TA";"Y";"TA";2;"TA";2;484;"TA";0;NA;3;2007;200624
"531";"10200 m2";"Reg";"AllPub";"Gtl";"SLvl";5;1988;1989;"TA";1461;"GasA";"Ex";"Y";"Gd";1;"Fa";2;600;"TA";0;NA;8;2008;175000
"532";"6155 m2";"IR1";"AllPub";"Gtl";"2Story";8;1920;1999;"Fa";611;"GasA";"Ex";"Y";"TA";0;NA;2;502;"Fa";0;NA;6;2008;128000
"533";"7200 m2";"Reg";"AllPub";"Gtl";"1Story";7;1955;2007;NA;0;"GasA";"Ex";"Y";"TA";1;"Po";1;392;"TA";0;NA;4;2010;107500
"534";"5000 m2";"Reg";"AllPub";"Mod";"1Story";3;1946;1950;NA;0;"GasA";"Fa";"N";"Fa";0;NA;0;0;NA;0;NA;1;2007;39300
"535";"9056 m2";"IR1";"AllPub";"Gtl";"2Story";5;2004;2004;"Gd";707;"GasA";"Ex";"Y";"Gd";1;"Gd";2;403;"TA";0;NA;10;2006;178000
"536";"7000 m2";"Reg";"AllPub";"Gtl";"2Story";7;1910;1991;"TA";1117;"GasA";"TA";"Y";"TA";0;NA;0;0;NA;0;NA;1;2008;107500
"537";"8924 m2";"IR1";"AllPub";"Gtl";"2Story";5;1998;1999;"TA";880;"GasA";"Ex";"Y";"Gd";0;NA;2;527;"TA";0;NA;7;2008;188000
"538";"12735 m2";"IR1";"AllPub";"Gtl";"1Story";5;1972;1972;"TA";864;"GasA";"TA";"Y";"TA";0;NA;2;576;"TA";0;NA;4;2008;111250
"539";"11553 m2";"IR1";"AllPub";"Gtl";"1Story";5;1968;1968;"TA";1051;"GasA";"TA";"Y";"TA";1;"Fa";1;336;"TA";0;NA;7;2006;158000
"540";"11423 m2";"Reg";"AllPub";"Gtl";"1Story";5;2001;2002;"TA";1581;"GasA";"Ex";"Y";"Gd";1;"TA";2;670;"TA";0;NA;5;2010;272000
"541";"14601 m2";"Reg";"AllPub";"Gtl";"1Story";5;2006;2006;"TA";1838;"GasA";"Ex";"Y";"Ex";1;"Gd";3;765;"TA";0;NA;3;2009;315000
"542";"11000 m2";"Reg";"AllPub";"Gtl";"2Story";5;2000;2000;"TA";969;"GasA";"Ex";"Y";"Gd";1;"TA";3;648;"TA";0;NA;6;2007;248000
"543";"10140 m2";"Reg";"AllPub";"Gtl";"1Story";5;1998;1999;"TA";1650;"GasA";"Ex";"Y";"Gd";1;"TA";2;583;"TA";0;NA;6;2009;213250
"544";"4058 m2";"Reg";"AllPub";"Gtl";"SFoyer";5;1998;1998;"TA";723;"GasA";"Ex";"Y";"TA";0;NA;1;367;"TA";0;NA;6;2007;133000
"545";"17104 m2";"IR1";"AllPub";"Gtl";"2Story";5;2006;2006;"Gd";654;"GasA";"Ex";"Y";"Gd";1;"Gd";2;426;"TA";0;NA;9;2006;179665
"546";"13837 m2";"IR1";"AllPub";"Gtl";"1.5Fin";5;1988;1988;"Gd";1204;"GasA";"Gd";"Y";"Gd";0;NA;3;786;"TA";0;NA;2;2006;229000
"547";"8737 m2";"IR1";"AllPub";"Gtl";"1.5Fin";7;1923;1950;"TA";1065;"GasA";"Ex";"Y";"TA";1;"Gd";2;440;"TA";0;NA;5;2007;210000
"548";"7244 m2";"Reg";"AllPub";"Gtl";"SFoyer";7;1970;1970;"TA";768;"GasA";"Ex";"Y";"TA";0;NA;2;624;"TA";0;NA;4;2007;129500
"549";"8235 m2";"IR1";"AllPub";"Gtl";"1Story";7;1955;1995;"TA";825;"GasA";"TA";"Y";"TA";0;NA;2;720;"TA";0;NA;6;2008;125000
"550";"9375 m2";"Reg";"AllPub";"Gtl";"2Story";5;2003;2004;"TA";912;"GasA";"Ex";"Y";"Gd";1;"Gd";2;615;"TA";0;NA;11;2009;263000
"551";"4043 m2";"Reg";"AllPub";"Gtl";"1Story";6;1977;1977;"TA";1069;"GasA";"TA";"Y";"TA";0;NA;2;440;"TA";0;NA;10;2008;140000
"552";"6000 m2";"Reg";"AllPub";"Gtl";"1Story";6;1957;1957;"TA";928;"GasA";"Gd";"Y";"TA";0;NA;1;288;"TA";0;NA;6;2008;112500
"553";"11146 m2";"IR1";"AllPub";"Gtl";"1Story";5;2006;2006;"TA";1709;"GasA";"Ex";"Y";"Gd";1;"Gd";3;908;"TA";0;NA;7;2009;255500
"554";"8777 m2";"Reg";"AllPub";"Gtl";"1Story";5;1949;2003;NA;0;"GasA";"Ex";"Y";"Gd";0;NA;2;520;"TA";0;NA;5;2009;108000
"555";"10625 m2";"Reg";"AllPub";"Gtl";"2Story";5;2003;2004;"TA";998;"GasA";"Ex";"Y";"Gd";1;"Gd";3;871;"TA";0;NA;8;2008;284000
"556";"6380 m2";"Reg";"AllPub";"Gtl";"1.5Unf";6;1922;1950;"Fa";993;"GasA";"TA";"Y";"TA";1;"Gd";1;280;"TA";0;NA;8;2006;113000
"557";"14850 m2";"IR1";"AllPub";"Gtl";"1Story";5;1957;1957;"TA";1092;"GasA";"TA";"Y";"TA";1;"TA";1;299;"TA";0;NA;5;2006;141000
"558";"11040 m2";"Reg";"AllPub";"Mod";"1.5Fin";6;1920;1950;"TA";637;"GasA";"Gd";"Y";"TA";0;NA;1;570;"TA";0;NA;9;2006;108000
"559";"21872 m2";"IR2";"AllPub";"Gtl";"2Story";5;1996;1997;"TA";729;"GasA";"Ex";"Y";"TA";1;"TA";2;406;"TA";0;NA;8;2008;175000
"560";"3196 m2";"Reg";"AllPub";"Gtl";"1Story";5;2003;2004;"TA";1374;"GasA";"Ex";"Y";"Gd";1;"TA";2;420;"TA";0;NA;10;2006;234000
"561";"11341 m2";"IR1";"AllPub";"Gtl";"1Story";6;1957;1996;"TA";1392;"GasA";"TA";"Y";"TA";1;"Gd";2;528;"TA";0;NA;5;2010;121500
"562";"10010 m2";"Reg";"AllPub";"Mod";"1Story";5;1974;1975;"TA";1389;"GasA";"Gd";"Y";"TA";1;"TA";2;418;"TA";0;NA;4;2006;170000
"563";"13907 m2";"Reg";"AllPub";"Gtl";"1Story";6;1940;1969;"TA";996;"GasA";"Ex";"Y";"TA";1;"Gd";0;0;NA;0;NA;7;2008;108000
"564";"21780 m2";"Reg";"AllPub";"Gtl";"1.5Fin";7;1918;1950;"TA";1163;"GasA";"Ex";"Y";"TA";1;"Gd";2;396;"TA";0;NA;7;2008;185000
"565";"13346 m2";"IR1";"AllPub";"Gtl";"2Story";5;1992;2000;"TA";1095;"GasA";"Ex";"Y";"Gd";1;"TA";2;590;"TA";0;NA;7;2006;268000
"566";"6858 m2";"Reg";"AllPub";"Gtl";"2Story";4;1915;1950;"TA";806;"GasA";"TA";"N";"Fa";0;NA;1;216;"TA";0;NA;5;2010;128000
"567";"11198 m2";"IR1";"AllPub";"Gtl";"2Story";5;2005;2007;"Gd";1122;"GasA";"Ex";"Y";"Ex";1;"Gd";3;656;"TA";0;NA;6;2008;325000
"568";"10171 m2";"IR1";"AllPub";"Gtl";"1Story";5;2004;2004;"TA";1517;"GasA";"Ex";"Y";"Gd";0;NA;2;532;"TA";0;NA;3;2010;214000
"569";"12327 m2";"IR1";"AllPub";"Mod";"1.5Fin";8;1983;2009;"TA";1496;"GasA";"Ex";"Y";"Gd";1;"Gd";2;612;"TA";0;NA;9;2009;316600
"570";"7032 m2";"IR1";"AllPub";"Gtl";"SFoyer";5;1979;1979;"TA";943;"GasA";"TA";"Y";"TA";2;"TA";2;600;"TA";0;NA;12;2006;135960
"571";"13101 m2";"IR1";"AllPub";"Gtl";"1Story";5;1965;1965;"TA";1728;"GasA";"TA";"Y";"TA";0;NA;2;576;"TA";0;NA;11;2008;142600
"572";"7332 m2";"Reg";"AllPub";"Gtl";"1Story";6;1959;1959;"TA";864;"GasA";"Ex";"Y";"Gd";0;NA;1;288;"TA";0;NA;10;2006;120000
"573";"13159 m2";"IR1";"AllPub";"Gtl";"2Story";5;2009;2009;"TA";846;"GasA";"Gd";"Y";"Gd";0;NA;2;650;"TA";0;NA;7;2009;224500
"574";"9967 m2";"IR1";"AllPub";"Gtl";"SLvl";5;2000;2000;"TA";384;"GasA";"Ex";"Y";"TA";1;"TA";2;400;"TA";0;NA;12;2007;170000
"575";"10500 m2";"Reg";"AllPub";"Gtl";"SLvl";7;1971;2005;"TA";372;"GasA";"TA";"Y";"TA";0;NA;1;288;"TA";0;NA;12;2007;139000
"576";"8480 m2";"Reg";"AllPub";"Gtl";"1.5Fin";5;1947;1950;"TA";832;"GasA";"TA";"Y";"TA";0;NA;1;336;"TA";0;NA;10;2008;118500
"577";"6292 m2";"Reg";"AllPub";"Gtl";"1.5Fin";7;1928;1950;"TA";861;"GasA";"Gd";"Y";"TA";1;"Gd";1;216;"TA";0;NA;8;2009;145000
"578";"11777 m2";"IR1";"AllPub";"Gtl";"SLvl";6;1966;1966;"TA";1164;"GasA";"Ex";"Y";"TA";2;"Fa";2;564;"TA";0;NA;5;2006;164500
"579";"3604 m2";"Reg";"AllPub";"Gtl";"2Story";5;2007;2007;"TA";689;"GasA";"Ex";"Y";"Gd";0;NA;2;540;"TA";0;NA;2;2008;146000
"580";"12150 m2";"Reg";"AllPub";"Gtl";"1.5Fin";5;1954;1954;"TA";1050;"GasA";"Ex";"N";"TA";0;NA;1;352;"TA";0;NA;11;2008;131500
"581";"14585 m2";"IR1";"AllPub";"Gtl";"1Story";6;1960;1987;"TA";1144;"GasA";"Ex";"Y";"Gd";2;"Gd";2;572;"TA";0;NA;6;2007;181900
"582";"12704 m2";"Reg";"AllPub";"Gtl";"1Story";5;2008;2009;"TA";2042;"GasA";"Ex";"Y";"Ex";1;"Gd";3;1390;"TA";0;NA;8;2009;253293
"583";"11841 m2";"Reg";"AllPub";"Gtl";"SFoyer";5;1990;1990;"TA";816;"GasA";"TA";"Y";"TA";0;NA;0;0;NA;0;NA;5;2007;118500
"584";"13500 m2";"Reg";"AllPub";"Gtl";"2.5Unf";9;1893;2000;"TA";1237;"GasA";"Gd";"Y";"Gd";1;"Gd";2;880;"TA";0;NA;7;2008;325000
"585";"6120 m2";"Reg";"AllPub";"Gtl";"1.5Fin";7;1935;1995;"TA";884;"GasA";"Ex";"Y";"Gd";0;NA;1;240;"TA";0;NA;7;2009;133000
"586";"11443 m2";"Reg";"AllPub";"Gtl";"1Story";5;2005;2006;"TA";1868;"GasA";"Ex";"Y";"Gd";2;"Gd";3;880;"TA";0;NA;3;2006;369900
"587";"10267 m2";"Reg";"AllPub";"Gtl";"1Story";7;1918;2000;"Gd";816;"GasA";"Ex";"Y";"Fa";0;NA;1;275;"TA";0;NA;5;2008;130000
"588";"8740 m2";"IR1";"AllPub";"Gtl";"SFoyer";6;1982;1982;"TA";840;"GasA";"TA";"Y";"TA";0;NA;2;528;"TA";0;NA;7;2009;137000
"589";"25095 m2";"IR1";"AllPub";"Sev";"1Story";8;1968;2003;"TA";1437;"GasA";"Ex";"Y";"Ex";2;"Gd";1;452;"TA";0;NA;6;2009;143000
